X	NoNoise	Noisy
The data file columns (and lags) used for ALN inputs and output are:
__A	__B	__C	ALNfitDeep
435.500000	-548.196619	-625.158194	-691.756399
448.000000	-303.589392	-241.261530	-454.989685
452.500000	-72.123392	2.186296	-225.706801
454.000000	10.296279	48.285096	-143.991362
462.000000	397.608803	324.346645	239.332234
471.500000	513.012654	295.640365	348.462939
473.500000	473.698284	663.759769	307.544264
490.000000	-302.793964	-457.321230	-484.199676
498.000000	-500.948677	-579.585517	-688.953974
499.500000	-498.004839	-463.625360	-687.068757
500.000000	-494.015812	-432.462304	-683.419193
500.500000	-488.537394	-561.444479	-678.273596
501.500000	-473.178990	-777.400037	-663.561206
503.000000	-439.504955	-322.980604	-630.808764
511.500000	-67.054818	-68.317295	-262.771079
516.000000	174.874512	185.975498	-22.978209
517.500000	247.945816	186.495656	49.347179
521.000000	386.303673	339.604082	185.821240
525.000000	467.809235	262.379671	264.832247
526.000000	473.171805	-52.587152	269.504229
530.500000	420.424882	-131.127217	213.306856
535.000000	256.780152	521.183016	45.717172
536.000000	209.277976	-119.022135	-2.711320
538.000000	106.728218	124.263526	-107.147355
538.500000	80.030129	125.293187	-134.321744
539.000000	53.090189	238.397017	-161.739062
543.000000	-159.868534	6.883909	-378.505384
544.000000	-208.984498	77.879096	-428.554861
550.500000	-426.922414	-1055.107286	-652.108828
552.000000	-443.746115	-638.516928	-670.079296
553.000000	-446.932214	-161.879145	-673.994102
555.500000	-426.605894	-562.265650	-655.363393
556.000000	-417.794766	-484.457152	-646.870225
561.000000	-254.005652	-258.993362	-485.923255
566.500000	25.177876	-54.091643	-209.424566
569.500000	179.037482	289.327373	-57.022382
571.000000	247.511056	202.264671	10.684773
573.000000	324.651796	506.640186	86.740492
576.000000	400.803756	445.568700	161.088524
576.500000	408.192744	834.160335	168.153210
579.000000	420.588978	666.222708	178.818473
583.500000	340.829690	512.515232	95.488284
587.500000	179.452810	86.592600	-69.466188
596.000000	-241.557046	300.501595	-498.426612
596.500000	-261.641571	-114.886315	-518.957945
600.000000	-366.608619	59.661455	-626.893799
602.000000	-393.465178	-21.986338	-655.299112
613.000000	-105.236578	-53.569742	-373.644764
626.500000	373.232229	853.592297	97.311843
632.000000	279.243451	785.382527	-1.025786
632.500000	261.897919	-56.920256	-18.805912
655.500000	-232.916667	-596.589579	-532.260406
659.000000	-83.499628	-736.985630	-384.677850
667.000000	259.479676	109.925157	-45.885161
668.500000	296.738524	-2.465376	-9.531921
670.000000	320.042697	371.433420	12.804419
676.500000	248.683541	613.566240	-63.517179
694.500000	-299.401016	-822.299326	-626.906685
719.000000	202.389819	-165.695472	-140.383546
726.000000	-75.020615	733.944342	-424.032474
726.500000	-95.056882	383.017846	-444.515335
732.000000	-250.946938	-362.888133	-605.030266
735.000000	-263.356106	576.346834	-619.638264
738.500000	-206.234847	-1387.049561	-564.763044
740.500000	-144.984922	989.689596	-504.668998
741.500000	-108.847392	-417.565125	-469.084826
742.000000	-89.787909	80.831031	-450.297605
744.000000	-9.790398	265.624677	-371.372376
745.500000	50.604227	494.108380	-311.780193
748.000000	141.987537	441.975575	-221.775645
750.000000	198.619407	-32.170368	-166.320246
752.500000	239.681374	-110.508437	-126.861427
757.500000	206.359119	145.678247	-163.904765
759.500000	153.905671	337.366706	-218.021107
762.500000	49.002902	407.576378	-325.535145
764.000000	-8.530550	569.211443	-384.396894
776.000000	-203.293619	472.525011	-588.602420
778.000000	-160.276286	-586.559850	-546.822268
781.000000	-66.586391	-379.920060	-454.858098
781.500000	-48.921968	-164.237297	-437.472156
789.500000	188.636831	-1533.170614	-204.570054
807.000000	-155.661438	-1026.171020	-562.907318
824.500000	129.127439	724.122901	-289.352276
826.500000	160.220238	-341.645081	-259.549830
827.000000	164.957234	-369.226186	-255.148960
829.500000	168.994122	1056.007917	-252.880320
834.500000	87.320398	-367.692951	-338.490731
835.500000	60.831731	-682.168222	-365.812012
848.000000	-146.089357	-296.351014	-582.587021
852.000000	-79.991224	-927.767061	-519.052148
865.000000	131.737468	-533.572091	-315.667826
872.500000	-3.521530	60.452988	-456.888701
873.000000	-15.190634	454.015540	-468.967088
874.000000	-37.788665	-659.123328	-492.380386
888.000000	-25.554671	200.765812	-490.094828
891.000000	35.681975	692.495325	-430.728619
898.000000	101.631666	1662.348811	-369.486347
911.000000	-74.693764	1141.030594	-555.886518
921.500000	-9.128835	-1311.913584	-497.531470
922.000000	-1.511515	1705.918832	-490.237434
931.000000	68.034043	2537.305546	-426.812258
934.000000	47.974277	4538.979283	-449.104970
934.500000	42.960113	695.566666	-454.498742
941.500000	-36.229137	2670.091554	-539.042600
955.000000	9.887735	-858.494783	-502.365827
971.000000	-9.164879	-1769.452652	-532.935386
980.000000	-16.544494	-1841.924410	-546.778400
980.500000	-14.918554	-1887.749242	-545.502459
983.500000	-4.112936	849.872536	-536.792156
988.000000	7.547847	-1846.318179	-528.294623
990.000000	8.893172	1474.899527	-528.372297
994.500000	4.920749	-396.718755	-535.577680
