X	NoNoise	Noisy
The data file columns (and lags) used for ALN inputs and output are:
__A	__B	__C	ALNfitDeep
727.500000	-133.114997	-1063.263783	-69.705908
733.500000	-264.459314	1059.693457	-202.291032
746.500000	89.152491	-577.619671	159.381165
751.500000	227.663707	-208.518372	301.034751
752.500000	239.681374	-110.508437	313.416722
754.000000	245.984983	749.770869	320.069344
754.500000	244.909444	636.314537	319.056639
760.500000	121.575104	-262.042776	194.616401
775.500000	-210.828838	2028.526764	-140.957655
777.000000	-184.218661	195.797482	-113.656450
779.500000	-116.755186	-196.698484	-44.651974
786.500000	121.989670	-830.334805	199.247239
787.000000	135.888003	1715.243546	213.460605
790.500000	200.643349	884.257406	279.873235
791.000000	204.506631	-865.883833	283.882533
799.500000	67.167652	147.784526	145.606520
803.500000	-65.454990	-719.664509	11.397750
808.000000	-171.954419	436.753870	-96.166876
808.500000	-178.178012	-650.794616	-102.414343
812.500000	-178.378731	-571.528780	-101.970860
817.000000	-84.395790	242.977035	-5.676470
818.000000	-54.796331	625.376068	24.583417
824.000000	118.593589	1982.440478	201.865051
824.500000	129.127439	724.122901	212.657267
833.000000	122.205702	-822.432487	206.995064
842.000000	-110.733762	1266.328141	-28.410647
873.000000	-15.190634	454.015540	73.760447
876.500000	-85.726188	-269.904017	2.603525
878.500000	-110.308653	33.029623	-22.069181
879.500000	-116.849543	-2208.148146	-28.558342
881.000000	-118.937922	875.097951	-30.439050
881.500000	-117.569104	-558.661697	-28.966230
883.500000	-102.326097	-1785.032499	-13.142700
885.500000	-73.637557	586.691432	16.352822
889.000000	-4.715448	-73.018686	87.002395
890.500000	25.967882	-669.545895	118.445355
892.000000	53.832206	475.691796	147.021831
909.000000	-52.273534	-2665.618408	41.881222
913.000000	-85.433000	-68.080304	8.810847
918.500000	-52.413589	2528.708898	43.276818
919.500000	-38.929210	1163.984200	57.150205
924.500000	34.007363	-1771.412215	132.124699
940.000000	-21.732037	-135.667488	77.955887
959.000000	35.088643	-984.396149	138.809596
967.500000	12.414193	1075.997407	117.129362
970.500000	-6.422441	-2513.844251	98.461158
973.000000	-18.012369	-3472.603923	87.080765
975.500000	-23.191272	-2659.559550	82.219375
980.000000	-16.544494	-1841.924410	89.706633
981.500000	-11.414505	-2756.613527	95.165868
993.000000	6.921446	75.680238	115.672446
996.500000	2.226578	243.377770	111.465140
998.500000	0.400846	-1116.712446	109.932449
999.000000	0.164886	-765.152221	109.773463
999.500000	0.030340	-1013.664971	109.717599
