X	NoNoise	Noisy
60.5	775.5240969	739.5866334
61	780.9337033	784.0090069
61.5	786.2669968	769.0156141
62	791.5220718	788.1829317
62.5	796.697014	835.2037776
63	801.7899012	774.5117805
63.5	806.7988034	803.8201119
64	811.7217836	844.8340069
64.5	816.5568983	781.7754553
65	821.3021976	829.1060097
65.5	825.9557264	799.1524821
66	830.5155242	778.6546613
66.5	834.9796262	844.4207642
67	839.3460637	857.7178242
67.5	843.6128645	852.3116622
68	847.778054	813.1982661
68.5	851.839655	846.3216883
69	855.7956892	928.0254669
69.5	859.6441772	867.6677335
70	863.3831395	848.9711138
70.5	867.010597	850.2523587
71	870.5245718	847.111927
71.5	873.9230875	867.1867124
72	877.2041707	913.4964059
72.5	880.365851	847.2096447
73	883.4061618	876.3333481
73.5	886.3231416	862.2278082
74	889.1148342	870.193113
74.5	891.7792896	915.0792888
75	894.3145649	826.2642351
75.5	896.7187253	904.3783024
76	898.9898442	919.475562
76.5	901.126005	895.01348
77	903.1253011	919.2362722
77.5	904.9858373	903.3506832
78	906.7057303	870.0969009
78.5	908.2831101	956.2109439
79	909.7161201	873.3446914
79.5	911.0029188	884.0542154
80	912.1416803	950.5260744
80.5	913.1305954	906.0279311
81	913.9678722	929.0368056
81.5	914.6517376	940.9178621
82	915.1804378	965.2187541
82.5	915.5522398	925.717503
83	915.7654317	892.2067985
83.5	915.8183243	904.1732018
84	915.7092518	881.870229
84.5	915.436573	912.8955051
85	914.9986721	892.134258
85.5	914.3939601	895.6280199
86	913.6208754	888.7560834
86.5	912.6778855	914.7429285
87	911.5634873	889.6444109
87.5	910.2762089	928.2566015
88	908.8146102	923.5530543
88.5	907.1772842	865.6474484
89	905.362858	964.997311
89.5	903.3699942	889.9180073
90	901.1973918	911.8295209
90.5	898.8437871	915.6908015
91	896.3079553	951.3355122
91.5	893.5887114	860.267572
92	890.6849114	899.4256683
92.5	887.5954532	892.7675192
93	884.3192784	874.0719593
93.5	880.8553725	868.2458633
94	877.202767	847.1616184
94.5	873.3605401	867.5855132
95	869.3278178	915.7447101
95.5	865.1037752	940.1661162
96	860.6876378	834.183018
96.5	856.0786824	820.5281384
97	851.2762384	801.1497024
97.5	846.279689	865.9590931
98	841.0884724	873.4454167
98.5	835.7020828	808.4940873
99	830.1200717	822.9322822
99.5	824.342049	800.1448007
100	818.3676841	770.6990936
100.5	812.1967073	818.4622161
101	805.8289105	809.6048151
101.5	799.2641488	783.2853845
102	792.5023412	805.995678
102.5	785.5434723	791.9651645
103	778.3875927	782.7741362
103.5	771.0348206	754.5513836
104	763.4853427	763.2115276
104.5	755.7394153	785.1616148
105	747.7973656	732.4504669
105.5	739.6595922	762.0547581
106	731.3265668	713.0039222
106.5	722.7988348	712.9395451
107	714.0770163	702.0920215
107.5	705.1618074	800.432823
108	696.053981	734.5725276
108.5	686.7543876	716.8346893
109	677.2639565	727.1753402
109.5	667.5836967	660.4179076
110	657.7146975	746.2206771
110.5	647.6581297	641.9742425
111	637.4152465	595.8855961
111.5	626.9873838	588.0462817
112	616.3759618	636.6937563
112.5	605.5824852	636.029156
113	594.6085438	599.6675808
113.5	583.4558141	581.8308114
114	572.1260589	601.1930518
114.5	560.6211288	583.3377326
115	548.9429624	514.4821656
115.5	537.093587	537.6317929
116	525.0751193	602.0257356
116.5	512.8897657	477.621731
117	500.539823	536.1502737
117.5	488.0276787	455.931799
118	475.3558115	472.2916953
118.5	462.5267918	453.886752
119	449.5432817	452.8898315
119.5	436.4080359	437.5433468
120	423.1239012	440.0377031
120.5	409.6938174	416.0720253
121	396.120817	358.4057913
121.5	382.4080256	392.2149651
122	368.558662	372.2515465
122.5	354.5760381	334.2040102
123	340.4635588	306.6197532
123.5	326.2247223	381.8636359
124	311.8631195	363.4204063
124.5	297.3824345	288.9258359
125	282.7864436	258.2894138
125.5	268.0790158	295.5782877
126	253.2641118	257.3256392
126.5	238.3457841	279.358908
127	223.3281765	177.3520408
127.5	208.2155234	216.1383207
128	193.0121494	231.7817823
128.5	177.7224689	169.3278032
129	162.3509849	172.0728374
129.5	146.9022888	117.4686159
130	131.3810595	154.1777067
130.5	115.7920623	134.4730547
131	100.1401483	85.2633537
131.5	84.43025317	59.09636139
132	68.66739644	67.72939484
132.5	52.85668009	-2.754804647
133	37.00328752	-16.9843655
133.5	21.11248232	-27.73130247
134	5.189606947	23.43298673
134.5	-10.75991863	-8.828113896
135	-26.73059837	23.13123638
135.5	-42.71686166	-90.17160244
136	-58.71306489	-31.73228382
136.5	-74.71349307	-81.57295869
137	-90.71236158	-25.79384995
137.5	-106.7038179	-90.64853568
138	-122.6819437	-79.28111103
138.5	-138.6407561	-154.7009225
139	-154.5742106	-99.45078561
139.5	-170.4762025	-169.1248942
140	-186.3405691	-204.3462388
140.5	-202.1610922	-187.5045857
141	-217.9315	-265.7647831
141.5	-233.6454699	-126.7721792
142	-249.2966305	-259.2017215
142.5	-264.8785642	-319.4160929
143	-280.3848101	-370.8650774
143.5	-295.8088662	-309.6828482
144	-311.1441924	-253.6704878
144.5	-326.3842131	-351.9661292
145	-341.5223201	-383.9983047
145.5	-356.5518757	-320.0144602
146	-371.4662154	-353.8171385
146.5	-386.2586512	-297.6207491
147	-400.9224745	-461.2598695
147.5	-415.4509598	-391.4452948
148	-429.8373671	-427.0596997
148.5	-444.0749461	-342.9369475
149	-458.1569391	-548.3858161
149.5	-472.0765846	-491.2505459
150	-485.8271209	-402.6980023
150.5	-499.4017896	-462.3525407
151	-512.793839	-545.7159732
151.5	-525.9965285	-503.0522155
152	-539.0031315	-510.5123458
152.5	-551.8069401	-641.3341938
153	-564.4012683	-578.9516039
153.5	-576.7794561	-573.9175634
154	-588.9348737	-599.9263192
154.5	-600.8609256	-574.9596463
155	-612.5510541	-521.4320309
155.5	-623.9987442	-543.0017438
156	-635.1975274	-604.401281
156.5	-646.1409857	-616.8935628
157	-656.8227565	-643.136166
157.5	-667.2365363	-681.0220271
158	-677.3760853	-661.0484543
158.5	-687.2352321	-572.1683973
159	-696.8078775	-762.0851926
159.5	-706.0879993	-698.653902
160	-715.0696568	-749.7697908
160.5	-723.7469953	-730.1328095
161	-732.1142506	-782.970025
161.5	-740.1657533	-738.3453064
162	-747.8959338	-778.0369053
162.5	-755.2993266	-735.3731298
163	-762.3705751	-784.9282919
163.5	-769.1044358	-812.1319681
164	-775.4957835	-759.537312
164.5	-781.5396152	-791.5906134
165	-787.2310556	-766.0236072
165.5	-792.5653607	-789.7646226
166	-797.5379233	-860.7359401
166.5	-802.144277	-890.8935198
167	-806.3801011	-709.6891711
167.5	-810.2412248	-818.3886032
168	-813.7236322	-893.1616616
168.5	-816.8234666	-748.369061
169	-819.5370347	-739.4602172
169.5	-821.8608116	-866.8622814
170	-823.7914447	-796.6733378
170.5	-825.3257585	-833.1913056
171	-826.4607587	-864.5613343
171.5	-827.1936363	-842.8106393
172	-827.5217722	-763.3087046
172.5	-827.4427413	-828.2153341
173	-826.9543163	-916.0827422
173.5	-826.0544722	-861.0355073
174	-824.7413898	-804.0566702
174.5	-823.01346	-798.1425651
175	-820.8692874	-861.3821577
175.5	-818.3076943	-816.4308437
176	-815.3277239	-734.8746131
176.5	-811.9286443	-842.7471497
177	-808.1099518	-755.243177
177.5	-803.8713741	-844.4674821
178	-799.212874	-772.5777393
178.5	-794.1346521	-799.2190143
179	-788.6371503	-815.2409681
179.5	-782.7210541	-707.9218989
180	-776.387296	-687.8424086
180.5	-769.637058	-720.1479785
181	-762.4717739	-712.7095341
181.5	-754.8931321	-655.0825246
182	-746.9030776	-818.0989846
182.5	-738.5038141	-775.7585912
183	-729.6978064	-646.5521615
183.5	-720.4877815	-802.3944855
184	-710.8767309	-785.7651916
184.5	-700.867912	-742.9663418
185	-690.464849	-650.5730354
185.5	-679.6713346	-607.7021187
186	-668.4914309	-719.0294101
186.5	-656.9294698	-699.1479425
187	-644.9900543	-602.2355979
187.5	-632.6780582	-554.7700817
188	-619.998627	-587.4074468
188.5	-606.9571778	-571.6300428
189	-593.5593988	-607.8032723
189.5	-579.8112496	-633.6523877
190	-565.7189601	-586.1337532
190.5	-551.2890299	-644.6615649
191	-536.5282277	-555.753682
191.5	-521.4435897	-490.1306716
192	-506.0424184	-518.3849735
192.5	-490.332281	-519.1001121
193	-474.3210075	-498.7094576
193.5	-458.0166886	-394.1777514
194	-441.4276738	-483.3977371
194.5	-424.5625683	-428.4570444
195	-407.4302308	-355.4920867
195.5	-390.0397702	-411.1568101
196	-372.4005423	-382.7246594
196.5	-354.5221468	-399.3989019
197	-336.4144233	-348.0176442
197.5	-318.0874473	-303.9704919
198	-299.5515261	-267.3009061
198.5	-280.8171947	-322.5821397
199	-261.8952105	-228.9210053
199.5	-242.796549	-210.2584357
200	-223.5323986	-199.1059878
200.5	-204.1141546	-190.5412353
201	-184.5534144	-171.384712
201.5	-164.8619711	-264.1331627
202	-145.0518075	-123.771792
202.5	-125.1350898	-103.1618439
203	-105.124161	-115.6322027
203.5	-85.03153402	-113.5004744
204	-64.86988451	-168.7140723
204.5	-44.65204378	-56.58831311
205	-24.39099108	-20.78622391
205.5	-4.099845858	23.04140966
206	16.20814023	16.28758607
206.5	36.51959158	45.12919546
207	56.82101711	13.09302709
207.5	77.09881891	126.0003386
208	97.33930115	110.0225346
208.5	117.5286792	37.18424473
209	137.653089	91.49088019
209.5	157.6985964	191.653788
210	177.6512071	234.8294431
210.5	197.4968764	238.9190897
211	217.2215196	191.0216321
211.5	236.8110218	215.6386663
212	256.2512486	226.5946495
212.5	275.5280571	211.0512185
213	294.6273061	316.8236058
213.5	313.5348673	346.106616
214	332.2366365	401.4096431
214.5	350.7185449	404.9504597
215	368.9665703	377.3969771
215.5	386.9667486	394.781222
216	404.7051855	405.9533843
216.5	422.1680685	496.0533678
217	439.3416783	516.7149788
217.5	456.212401	440.9627453
218	472.7667402	529.1932677
218.5	488.9913289	447.6637806
219	504.8729418	502.7715026
219.5	520.3985074	557.4496969
220	535.5551204	421.9475177
220.5	550.3300539	532.4862078
221	564.7107719	561.9477871
221.5	578.6849413	601.4095484
222	592.2404445	595.6959604
222.5	605.3653917	618.3895544
223	618.0481332	585.9139167
223.5	630.2772714	595.7252285
224	642.0416736	677.6788236
224.5	653.3304835	582.4680898
225	664.1331336	636.010965
225.5	674.4393575	753.8507852
226	684.2392011	689.8709101
226.5	693.5230352	783.7605849
227	702.2815666	698.623214
227.5	710.5058498	712.9073987
228	718.1872984	710.4129372
228.5	725.3176965	708.0567217
229	731.8892096	762.3274065
229.5	737.8943953	711.3646242
230	743.3262143	723.5676132
230.5	748.1780406	826.2647393
231	752.4436717	748.3269611
231.5	756.1173388	729.5378532
232	759.1937164	852.5308866
232.5	761.6679314	797.7775972
233	763.5355729	611.0004359
233.5	764.7927004	817.1591698
234	765.4358529	810.9479599
234.5	765.4620566	732.6388729
235	764.8688331	825.8366443
235.5	763.6542068	796.8237845
236	761.8167122	756.1304448
236.5	759.3554004	708.5837818
237	756.2698455	710.3069142
237.5	752.5601509	639.4170026
238	748.2269544	737.8789316
238.5	743.2714338	760.26683
239	737.6953109	743.5533379
239.5	731.5008566	642.8425436
240	724.6908937	769.6513335
240.5	717.268801	708.9186417
241	709.2385154	749.9764011
241.5	700.6045347	802.9518456
242	691.3719191	696.1817453
242.5	681.5462925	651.8841953
243	671.1338431	692.901945
243.5	660.1413239	752.8421312
244	648.576052	647.680713
244.5	636.4459077	636.5641147
245	623.7593331	642.3288476
245.5	610.5253303	703.4797385
246	596.753458	551.4187847
246.5	582.4538291	547.203946
247	567.6371062	465.3883547
247.5	552.3144977	663.0042203
248	536.4977524	469.2091507
248.5	520.199154	530.8023914
249	503.4315149	486.0858361
249.5	486.2081692	572.5960505
250	468.5429653	468.6827787
250.5	450.4502579	472.1047776
251	431.944899	396.6835607
251.5	413.0422289	348.0849659
252	393.7580661	424.0077371
252.5	374.1086966	353.7463465
253	354.1108628	416.5937408
253.5	333.7817519	377.5943013
254	313.1389831	261.4391091
254.5	292.2005949	304.2259101
255	270.9850313	241.1106139
255.5	249.5111276	108.6031863
256	227.7980957	154.5675322
256.5	205.8655085	178.4140747
257	183.7332841	208.6897276
257.5	161.4216692	164.9425035
258	138.951222	82.70666248
258.5	116.3427945	58.42678576
259	93.61751456	-9.296704918
259.5	70.79676673	127.0365604
260	47.9021735	136.2032011
260.5	24.95557537	-33.05423296
261	1.979010643	29.86406416
261.5	-21.00530517	34.99284615
262	-43.97500051	-62.37479133
262.5	-66.90756932	-139.8747715
263	-89.78039299	-150.6784635
263.5	-112.5707627	-128.4762507
264	-135.2559024	-99.06381341
264.5	-157.8129914	-150.0832344
265	-180.2191885	-140.7489632
265.5	-202.451655	-179.7243342
266	-224.4875794	-158.1908685
266.5	-246.3042015	-201.2791222
267	-267.8788367	-171.7106639
267.5	-289.1889012	-262.5793518
268	-310.2119368	-268.5324044
268.5	-330.925636	-454.7210412
269	-351.3078674	-313.1614404
269.5	-371.3367011	-358.4316467
270	-390.9904343	-209.5531208
270.5	-410.2476165	-343.2041096
271	-429.0870757	-344.1009555
271.5	-447.4879433	-505.8048374
272	-465.4296804	-523.5232443
272.5	-482.8921025	-702.1447999
273	-499.8554057	-346.6573789
273.5	-516.3001915	-464.6108135
274	-532.207492	-504.84447
274.5	-547.558795	-424.3973716
275	-562.3360686	-570.9292332
275.5	-576.5217858	-653.3885877
276	-590.0989484	-619.2456494
276.5	-603.0511113	-657.8130723
277	-615.3624056	-620.8859391
277.5	-627.0175621	-596.4070458
278	-638.0019335	-748.8959414
278.5	-648.3015173	-618.2378804
279	-657.9029771	-617.5399859
279.5	-666.7936637	-626.6655495
280	-674.9616365	-554.0500555
280.5	-682.3956828	-631.7250201
281	-689.0853376	-883.0194624
281.5	-695.0209025	-672.7554404
282	-700.1934638	-712.6165721
282.5	-704.5949096	-680.9955383
283	-708.217947	-855.6312395
283.5	-711.0561172	-715.6240044
284	-713.1038113	-696.3210237
284.5	-714.356284	-751.9189442
285	-714.8096673	-635.4579337
285.5	-714.4609824	-725.3224765
286	-713.3081517	-773.1279662
286.5	-711.350009	-651.4424871
287	-708.586309	-558.7511133
287.5	-705.0177361	-684.5836056
288	-700.6459116	-696.2728976
288.5	-695.4734	-720.3008595
289	-689.5037147	-623.1998924
289.5	-682.7413219	-794.9317185
290	-675.1916436	-700.2968205
290.5	-666.8610597	-604.0273544
291	-657.7569088	-668.190445
291.5	-647.8874873	-556.9619349
292	-637.2620484	-579.3120348
292.5	-625.8907986	-636.8496126
293	-613.7848939	-640.7578442
293.5	-600.9564344	-556.7240077
294	-587.4184578	-552.6536887
294.5	-573.1849311	-517.5478659
295	-558.270742	-492.1042313
295.5	-542.6916879	-603.3079265
296	-526.4644648	-364.5790749
296.5	-509.6066538	-385.4234463
297	-492.1367069	-514.5186607
297.5	-474.0739317	-597.1541982
298	-455.4384742	-603.6545938
298.5	-436.251301	-248.6650903
299	-416.5341796	-356.8632322
299.5	-396.309658	-462.3175537
300	-375.6010426	-450.0878705
300.5	-354.4323752	-204.1993381
301	-332.8284085	-446.6297423
301.5	-310.8145807	-164.0021128
302	-288.4169886	-238.4168235
302.5	-265.6623596	-207.1078417
303	-242.5780229	-267.0362615
303.5	-219.191879	-145.1862697
304	-195.5323687	-197.4294663
304.5	-171.6284404	-154.6287884
305	-147.509517	-40.42344256
305.5	-123.2054614	-193.6356767
306	-98.74654105	-94.47428162
306.5	-74.16339172	-296.7334886
307	-49.48698031	60.59319441
307.5	-24.74856675	-34.22594148
308	0.020334863	177.9679647
308.5	24.78799589	31.81420322
309	49.52251355	143.2176922
309.5	74.19185195	-53.60337626
310	98.76388375	127.7250957
310.5	123.2064325	59.36810258
311	147.4873152	141.1776933
311.5	171.574386	168.3552015
312	195.4355793	217.8988718
312.5	219.0389542	185.0262146
313	242.3527387	148.8113596
313.5	265.3453744	287.7320475
314	287.9855608	186.940221
314.5	310.2423009	377.8134041
315	332.0849456	405.6591372
315.5	353.4832387	439.0874363
316	374.4073619	497.3228537
316.5	394.8279793	319.4113136
317	414.7162822	474.1593651
317.5	434.0440331	452.640261
318	452.7836095	463.1968745
318.5	470.9080476	523.973019
319	488.3910851	350.9024847
319.5	505.2072037	419.688182
320	521.331671	616.0036816
320.5	536.7405814	439.4403959
321	551.4108965	514.9328093
321.5	565.3204848	537.2898711
322	578.4481602	635.5151778
322.5	590.7737195	593.651312
323	602.2779791	668.4795463
323.5	612.9428106	548.208751
324	622.7511749	637.9152943
324.5	631.6871556	682.9517302
325	639.7359902	568.5718252
325.5	646.8841009	760.7081796
326	653.1191237	589.5090101
326.5	658.4299351	628.1486016
327	662.8066786	705.7673938
327.5	666.2407889	703.5552876
328	668.7250143	492.3422182
328.5	670.2534372	708.0145206
329	670.8214938	744.2055213
329.5	670.4259909	695.0776425
330	669.0651212	790.7748148
330.5	666.7384767	502.2637329
331	663.44706	683.0760111
331.5	659.1932938	695.5448843
332	653.9810279	595.3750565
332.5	647.8155446	569.7824287
333	640.7035615	649.9538012
333.5	632.6532325	705.3002646
334	623.6741465	637.2569744
334.5	613.7773235	469.835711
335	602.975209	636.8517735
335.5	591.2816657	560.8845435
336	578.7119633	597.6063452
336.5	565.2827659	828.6156318
337	551.0121165	518.7837806
337.5	535.9194202	840.1392352
338	520.0254244	551.3464743
338.5	503.3521969	533.5928765
339	485.9231014	554.4958246
339.5	467.7627714	444.3927759
340	448.8970814	405.6748256
340.5	429.3531155	538.0782691
341	409.1591343	443.9505367
341.5	388.3445395	533.1152522
342	366.9398362	496.2597145
342.5	344.9765931	312.0195242
343	322.4874005	308.7540334
343.5	299.5058265	300.5687209
344	276.0663711	247.541813
344.5	252.2044179	409.1327972
345	227.9561847	263.3775358
345.5	203.3586717	242.4775388
346	178.4496079	181.2622905
346.5	153.2673961	290.6682028
347	127.8510563	38.98460214
347.5	102.2401668	26.8093385
348	76.47480497	229.5671301
348.5	50.59548552	-95.73730941
349	24.64309828	-19.08412862
349.5	-1.341155749	-93.16062542
350	-27.31582927	-63.79148336
350.5	-53.23929462	172.975858
351	-79.06981068	-261.5624413
351.5	-104.7655906	-72.91242939
352	-130.2848701	-100.6162986
352.5	-155.5859767	-72.63155021
353	-180.6273994	-35.02806715
353.5	-205.3678581	-99.87146375
354	-229.7663744	-211.3115866
354.5	-253.7823418	-342.3950043
355	-277.3755959	-257.4674175
355.5	-300.506485	-248.4871212
356	-323.1359403	-71.33223924
356.5	-345.2255454	-198.1789819
357	-366.7376058	-332.8755777
357.5	-387.6352175	-500.2432437
358	-407.8823356	-421.8889404
358.5	-427.4438405	-411.658021
359	-446.2856052	-455.7736181
359.5	-464.3745597	-532.9880106
360	-481.6787551	-386.914275
360.5	-498.1674261	-379.967392
361	-513.8110524	-511.737299
361.5	-528.5814176	-342.9725601
362	-542.4516674	-523.4213377
362.5	-555.3963652	-484.5731526
363	-567.3915461	-700.7409657
363.5	-578.4147686	-480.8854675
364	-588.4451642	-633.0178929
364.5	-597.4634847	-444.0649927
365	-605.4521472	-523.763665
365.5	-612.3952757	-498.9177832
366	-618.2787414	-872.4001508
366.5	-623.0901991	-484.1492974
367	-626.8191215	-633.5284989
367.5	-629.4568298	-744.0232458
368	-630.996522	-616.6113375
368.5	-631.4332976	-772.6894494
369	-630.7641791	-588.1775334
369.5	-628.9881308	-786.2762037
370	-626.1060732	-536.6089397
370.5	-622.1208947	-612.4996593
371	-617.0374601	-646.705047
371.5	-610.8626144	-702.7380869
372	-603.6051844	-599.8453249
372.5	-595.2759754	-501.4518642
373	-585.8877653	-590.8248693
373.5	-575.4552944	-336.8011881
374	-563.9952512	-690.7067658
374.5	-551.5262557	-414.6538169
375	-538.0688373	-622.5939269
375.5	-523.6454103	-499.6998688
376	-508.280245	-607.9736143
376.5	-491.999435	-423.0351244
377	-474.8308614	-205.8137381
377.5	-456.8041527	-410.8946846
378	-437.9506413	-345.2217276
378.5	-418.3033164	-410.3253886
379	-397.8967736	-280.9090978
379.5	-376.76716	-277.3506184
380	-354.9521177	-403.8949896
380.5	-332.4907218	-457.3800364
381	-309.4234171	-237.4959852
381.5	-285.7919501	-397.1459039
382	-261.6392988	-367.7200083
382.5	-237.0095992	-418.1645172
383	-211.9480692	-183.0945632
383.5	-186.5009289	-293.439375
384	-160.7153199	-257.060251
384.5	-134.63922	-166.7203281
385	-108.3213576	-72.54396489
385.5	-81.81112229	-65.98724117
386	-55.15847451	-329.1630022
386.5	-28.4138525	98.56291382
387	-1.628077989	-183.0327309
387.5	25.14773985	40.8219828
388	51.86230177	-8.429207311
388.5	78.46421715	-116.9881271
389	104.9021035	96.48450676
389.5	131.1246873	164.4901062
390	157.0809045	44.74395869
390.5	182.7200028	86.58545576
391	207.9916431	150.4920809
391.5	232.8460012	277.4504118
392	257.2338702	237.4588231
392.5	281.106761	249.2029404
393	304.4170036	488.0700907
393.5	327.1178468	598.692903
394	349.1635574	483.5212228
394.5	370.5095176	420.5258853
395	391.1123217	351.5544172
395.5	410.9298703	230.0799047
396	429.9214635	447.7429844
396.5	448.0478912	504.6759178
397	465.2715218	394.3994469
397.5	481.5563883	363.2207422
398	496.8682711	431.0550589
398.5	511.1747785	537.7998309
399	524.4454241	461.4185233
399.5	536.6517007	459.5836277
400	547.7671504	319.7032051
400.5	557.7674322	501.2610855
401	566.6303839	696.5222088
401.5	574.336082	378.9468682
402	580.866896	623.2745614
402.5	586.2075387	609.1050582
403	590.3451124	699.1690375
403.5	593.26915	601.5752753
404	594.9716515	781.0697618
404.5	595.4471158	662.7061468
405	594.6925668	525.3185111
405.5	592.7075754	521.5260291
406	589.4942754	481.5595692
406.5	585.0573742	444.8029368
407	579.4041587	671.3847203
407.5	572.5444952	642.1411996
408	564.4908235	368.1771759
408.5	555.2581464	393.2398239
409	544.8640129	404.9944352
409.5	533.3284955	587.5001505
410	520.6741628	437.7443106
410.5	506.9260458	391.3760543
411	492.1115987	532.308191
411.5	476.260654	370.5627436
412	459.4053729	492.6375366
412.5	441.5801886	153.5597537
413	422.8217461	185.8738178
413.5	403.168835	376.6449514
414	382.6623184	280.2684036
414.5	361.3450554	268.1020235
415	339.2618198	422.6236373
415.5	316.459213	210.5243782
416	292.9855727	408.1605772
416.5	268.8908768	571.3167516
417	244.2266432	67.57835458
417.5	219.0458245	75.46396223
418	193.4027	-106.2982321
418.5	167.3527629	266.1240542
419	140.9526039	281.7543325
419.5	114.2597923	-22.87870667
420	87.33275268	-71.74994144
420.5	60.23064002	165.1524655
421	33.01321106	-3.573101357
421.5	5.740693989	-47.20426434
422	-21.5263442	154.6518987
422.5	-48.72713211	-295.0874528
423	-75.80082989	-22.27030393
423.5	-102.6866664	-194.4113413
424	-129.324077	-99.32001761
424.5	-155.6528427	-278.6696739
425	-181.6132287	-200.1871557
425.5	-207.146123	-50.59708469
426	-232.1931758	-173.2402789
426.5	-256.6969362	-153.9676702
427	-280.6009901	-201.2016794
427.5	-303.8500947	-304.4819355
428	-326.3903127	-369.2430824
428.5	-348.1691444	-163.2912465
429	-369.1356561	-277.7325593
429.5	-389.2406079	-477.4305781
430	-408.4365768	-489.673529
430.5	-426.6780772	-619.2421559
431	-443.9216778	-572.8593092
431.5	-460.1261142	-402.0459339
432	-475.2523978	-639.0107103
432.5	-489.2639192	-343.8409319
433	-502.126548	-581.8980042
433.5	-513.8087263	-654.1427114
434	-524.2815575	-525.1528251
434.5	-533.5188891	-689.7531597
435	-541.4973896	-433.452377
435.5	-548.1966195	-625.1581941
436	-553.5990956	-797.162747
436.5	-557.6903486	-606.5197415
437	-560.4589741	-593.3579293
437.5	-561.8966766	-590.9307122
438	-561.9983063	-1044.814832
438.5	-560.761888	-530.8843536
439	-558.1886435	-557.6875251
439.5	-554.2830057	-651.4329746
440	-549.0526252	-578.7766418
440.5	-542.5083686	-113.6796656
441	-534.6643101	-346.3138341
441.5	-525.5377139	-595.7736831
442	-515.1490094	-441.5762398
442.5	-503.521758	-461.8030132
443	-490.6826122	-442.1817757
443.5	-476.6612669	-499.4550431
444	-461.4904024	-563.1788506
444.5	-445.2056197	-439.1934552
445	-427.8453684	-549.7186429
445.5	-409.4508664	-200.4331575
446	-390.0660129	-374.4519304
